bus_reg,depot
DL1PD5001,bawana sector-1
DL1PD5007,bawana sector-1
DL1PD5460,bawana sector-1
DL1PD5351,bawana sector-1
DL1PD5072,bawana sector-1
DL1PD4789,bawana sector-1
DL1PD4815,bawana sector-1
DL1PD5228,bawana sector-1
DL1PD4786,bawana sector-1
DL1PD4802,bawana sector-1
DL1PD5222,bawana sector-1
DL1PD5310,bawana sector-1
DL1PD5379,bawana sector-1
DL1PD5352,bawana sector-1
DL1PD5201,bawana sector-1
DL1PD4896,bawana sector-1
DL1PD4963,bawana sector-1
DL1PD5122,bawana sector-1
DL1PD4817,bawana sector-1
DL1PD5004,bawana sector-1
DL1PD4907,bawana sector-1
DL1PD4974,bawana sector-1
DL1PD4810,bawana sector-1
DL1PD4980,bawana sector-1
DL1PD5052,bawana sector-1
DL1PD5006,bawana sector-1
DL1PD5131,bawana sector-1
DL1PD5173,bawana sector-1
DL1PD5254,bawana sector-1
DL1PD5317,bawana sector-1
DL1PD4942,bawana sector-1
DL1PD4909,bawana sector-1
DL1PD5180,bawana sector-1
DL1PD4849,bawana sector-1
DL1PD5079,bawana sector-1
DL1PD5062,bawana sector-1
DL1PD5035,bawana sector-1
DL1PD5102,bawana sector-1
DL1PD5082,bawana sector-1
DL1PD4861,bawana sector-1
DL1PD5239,bawana sector-1
DL1PD5039,bawana sector-1
DL1PD5249,bawana sector-1
DL1PD4998,bawana sector-1
DL1PD4806,bawana sector-1
DL1PD4966,bawana sector-1
DL1PD4819,bawana sector-1
DL1PD4999,bawana sector-1
DL1PD5269,bawana sector-1
DL1PD5359,bawana sector-1
DL1PD5187,bawana sector-1
DL1PD5011,bawana sector-1
DL1PD5277,bawana sector-1
DL1PD5270,bawana sector-1
DL1PD5188,bawana sector-1
DL1PD5260,bawana sector-1
DL1PD4947,bawana sector-1
DL1PD5026,bawana sector-1
DL1PD4932,bawana sector-1
DL1PD5182,bawana sector-1
DL1PD5227,bawana sector-1
DL1PD4921,bawana sector-1
DL1PD4983,bawana sector-1
DL1PD4862,bawana sector-1
DL1PD5205,bawana sector-1
DL1PD5504,bawana sector-1
DL1PD4795,bawana sector-1
DL1PD5353,bawana sector-1
DL1PD4791,bawana sector-1
DL1PD4830,bawana sector-1
DL1PD5013,bawana sector-1
DL1PD5243,bawana sector-1
DL1PD5279,bawana sector-1
DL1PD5185,bawana sector-1
DL1PD5523,bawana sector-1
DL1PD4900,bawana sector-1
DL1PD5213,bawana sector-1
DL1PD5332,bawana sector-1
DL1PD5321,bawana sector-1
DL1PD4798,bawana sector-1
DL1PD5296,bawana sector-1
DL1PD5283,bawana sector-1
DL1PD5020,bawana sector-1
DL1PD5295,bawana sector-1
DL1PD5364,bawana sector-1
DL1PD5209,bawana sector-1
DL1PD5191,bawana sector-1
DL1PD4961,bawana sector-1
DL1PD4886,bawana sector-1
DL1PD5019,bawana sector-1
DL1PD5054,bawana sector-1
DL1PD5038,bawana sector-1
DL1PD5046,bawana sector-1
DL1PD5078,bawana sector-1
DL1PD5267,bawana sector-1
DL1PD5198,bawana sector-1
DL1PD4957,bawana sector-1
DL1PD4977,bawana sector-1
DL1PD5591,bawana sector-5
DL1PD5666,bawana sector-5
DL1PD6360,bawana sector-5
DL1PD6237,bawana sector-5
DL1PD5561,bawana sector-5
DL1PD6188,bawana sector-5
DL1PD5655,bawana sector-5
DL1PD5580,bawana sector-5
DL1PD6139,bawana sector-5
DL1PD5412,bawana sector-5
DL1PD6204,bawana sector-5
DL1PD5545,bawana sector-5
DL1PD5526,bawana sector-5
DL1PD5210,bawana sector-5
DL1PD5559,bawana sector-5
DL1PD5557,bawana sector-5
DL1PD5565,bawana sector-5
DL1PD5494,bawana sector-5
DL1PD5275,bawana sector-5
DL1PD5516,bawana sector-5
DL1PD6314,bawana sector-5
DL1PD5487,bawana sector-5
DL1PD6119,bawana sector-5
DL1PD6309,bawana sector-5
DL1PD5674,bawana sector-5
DL1PD6190,bawana sector-5
DL1PD5456,bawana sector-5
DL1PD5592,bawana sector-5
DL1PD5708,bawana sector-5
DL1PD6103,bawana sector-5
DL1PD5568,bawana sector-5
DL1PD6372,bawana sector-5
DL1PD5459,bawana sector-5
DL1PD6114,bawana sector-5
DL1PD6326,bawana sector-5
DL1PD6241,bawana sector-5
DL1PD6371,bawana sector-5
DL1PD5645,bawana sector-5
DL1PD5509,bawana sector-5
DL1PD5513,bawana sector-5
DL1PD6285,bawana sector-5
DL1PD5490,bawana sector-5
DL1PD5609,bawana sector-5
DL1PD5665,bawana sector-5
DL1PD5574,bawana sector-5
DL1PD5544,bawana sector-5
DL1PD5546,bawana sector-5
DL1PD5480,bawana sector-5
DL1PD5484,bawana sector-5
DL1PD5612,bawana sector-5
DL1PD6118,bawana sector-5
DL1PD5543,bawana sector-5
DL1PD6254,bawana sector-5
DL1PD6250,bawana sector-5
DL1PD5439,bawana sector-5
DL1PD5477,bawana sector-5
DL1PD5608,bawana sector-5
DL1PD5554,bawana sector-5
DL1PD5623,bawana sector-5
DL1PD6084,bawana sector-5
DL1PD5537,bawana sector-5
DL1PD5216,bawana sector-5
DL1PD5572,bawana sector-5
DL1PD5605,bawana sector-5
DL1PD5532,bawana sector-5
DL1PD5541,bawana sector-5
DL1PD5624,bawana sector-5
DL1PD5618,bawana sector-5
DL1PD5740,bawana sector-5
DL1PD5599,bawana sector-5
DL1PD6223,bawana sector-5
DL1PD5491,bawana sector-5
DL1PD5520,bawana sector-5
DL1PD5518,bawana sector-5
DL1PD5398,bawana sector-5
DL1PD5414,bawana sector-5
DL1PD5223,bawana sector-5
DL1PD6256,bawana sector-5
DL1PD5606,bawana sector-5
DL1PD6183,bawana sector-5
DL1PD6170,bawana sector-5
DL1PD6217,bawana sector-5
DL1PD5567,bawana sector-5
DL1PD6289,bawana sector-5
DL1PD5611,bawana sector-5
DL1PD6202,bawana sector-5
DL1PD6233,bawana sector-5
DL1PD5628,bawana sector-5
DL1PD5679,bawana sector-5
DL1PD6187,bawana sector-5
DL1PD6290,bawana sector-5
DL1PD5225,bawana sector-5
DL1PD5542,bawana sector-5
DL1PD5701,bawana sector-5
DL1PD5594,bawana sector-5
DL1PD5747,bawana sector-5
DL1PD5650,bawana sector-5
DL1PD5552,bawana sector-5
DL1PD5540,bawana sector-5
DL1PD5237,bawana sector-5
DL1PD5451,bawana sector-5
DL1PD5457,bawana sector-5
DL1PD6287,bawana sector-5
DL1PD5585,bawana sector-5
DL1PD5684,bawana sector-5
DL1PD5394,bawana sector-5
DL1PD5570,bawana sector-5
DL1PD5571,bawana sector-5
DL1PD6191,bawana sector-5
DL1PD5672,bawana sector-5
DL1PD5579,bawana sector-5
DL1PD5564,bawana sector-5
DL1PD5598,bawana sector-5
DL1PD5549,bawana sector-5
DL1PD5587,bawana sector-5
DL1PD5633,bawana sector-5
DL1PD5168,bawana sector-5
DL1PD5214,bawana sector-5
DL1PD5535,bawana sector-5
DL1PD5669,bawana sector-5
DL1PD6203,bawana sector-5
DL1PD5478,bawana sector-5
DL1PD5590,bawana sector-5
DL1PD5489,bawana sector-5
DL1PD5261,bawana sector-5
DL1PD5641,bawana sector-5
DL1PD6293,bawana sector-5
DL1PD6248,bawana sector-5
DL1PD5441,bawana sector-5
DL1PD6226,bawana sector-5
DL1PD5240,bawana sector-5
DL1PD5498,bawana sector-5
DL1PD5530,bawana sector-5
DL1PD5563,bawana sector-5
DL1PD5483,bawana sector-5
DL1PD5649,bawana sector-5
DL1PD5656,bawana sector-5
DL1PD6081,bawana sector-5
DL1PD6244,bawana sector-5
DL1PD5512,bawana sector-5
DL1PD5631,bawana sector-5
DL1PD5551,bawana sector-5
DL1PD5622,bawana sector-5
DL1PD5677,bawana sector-5
DL1PD5463,bawana sector-5
DL1PD5675,bawana sector-5
DL1PD6143,bawana sector-5
DL1PD5529,bawana sector-5
DL1PD5524,bawana sector-5
DL1PD5382,bawana sector-5
DL1PD6260,bawana sector-5
DL1PD5629,bawana sector-5
DL1PD6325,bawana sector-5
DL1PD5467,bawana sector-5
DL1PD5589,bawana sector-5
DL1PD5615,bawana sector-5
DL1PD5522,bawana sector-5
DL1PD5582,bawana sector-5
DL1PD5626,bawana sector-5
DL1PD5486,bawana sector-5
DL1PD5503,bawana sector-5
DL1PD5495,bawana sector-5
DL1PD5636,bawana sector-5
DL1PD5664,bawana sector-5
DL1PD5646,bawana sector-5
DL1PD6300,bawana sector-5
DL1PD5511,bawana sector-5
DL1PD5602,bawana sector-5
DL1PD5560,bawana sector-5
DL1PD5202,bawana sector-5
DL1PD5215,bawana sector-5
DL1PD5257,bawana sector-5
DL1PD5538,bawana sector-5
DL1PD5627,bawana sector-5
DL1PD5659,bawana sector-5
DL1PD5593,bawana sector-5
DL1PD5562,bawana sector-5
DL1PD6201,bawana sector-5
DL1PD5500,bawana sector-5
DL1PD5556,bawana sector-5
DL1PD5586,bawana sector-5
DL1PD5770,bawana sector-5
DL1PD5455,bawana sector-5
DL1PD5219,bawana sector-5
DL1PD5620,bawana sector-5
DL1PD5527,bawana sector-5
DL1PD6220,bawana sector-5
DL1PD5652,bawana sector-5
DL1PD5482,bawana sector-5
DL1PD6336,bawana sector-5
DL1PD6238,bawana sector-5
DL1PD5685,bawana sector-5
DL1PD5193,bawana sector-5
DL1PD6120,bawana sector-5
DL1PD6195,bawana sector-5
DL1PD6376,bawana sector-5
DL1PD5566,bawana sector-5
DL1PD6323,bawana sector-5
DL1PC4855,bbm 
DL1PC6505,bbm 
DL1PC6744,bbm 
DL1PC6530,bbm 
DL1PC4789,bbm 
DL1PC6527,bbm 
DL1PC6491,bbm 
DL1PC6503,bbm 
DL1PC6526,bbm 
DL1PC6507,bbm 
DL1PC6509,bbm 
DL1PC6531,bbm 
DL1PC5939,bbm 
DL1PC6529,bbm 
DL1PC4861,bbm 
DL1PC4791,bbm 
DL1PC6747,bbm 
DL1PC4784,bbm 
DL1PC6718,bbm 
DL1PC4725,bbm 
DL1PC6742,bbm 
DL1PC4780,bbm 
DL1PC5750,bbm 
DL1PC6502,bbm 
DL1PC4128,bbm 
DL1PC4839,bbm 
DL1PC4862,bbm 
DL1PC4856,bbm 
DL1PC4710,bbm 
DL1PC6748,bbm 
DL1PC4788,bbm 
DL1PC6746,bbm 
DL1PC4786,bbm 
DL1PC4140,bbm 
DL1PC4843,bbm 
DL1PC4787,bbm 
DL1PC6739,bbm 
DL1PC5746,bbm 
DL1PC6508,bbm 
DL1PC6749,bbm 
DL1PC6743,bbm 
DL1PC5938,bbm 
DL1PC5749,bbm 
DL1PC4854,bbm 
DL1PC4723,bbm 
DL1PC4643,bbm 
DL1PC4708,bbm 
DL1PC4827,bbm 
DL1PC5943,bbm 
DL1PC6528,bbm 
DL1PC6504,bbm 
DL1PC4829,bbm 
DL1PC4706,bbm 
DL1PC4863,bbm 
DL1PC6741,bbm 
DL1PC4644,bbm 
DL1PC5864,bbm 
DL1PC5853,bbm 
DL1PC5865,bbm 
DL1PC5862,bbm 
DL1PC5863,bbm 
