route_id,service_id,trip_id
0,1,0_06_00
1,1,1_21_10
2,1,2_21_10
3,1,3_07_40
4,1,4_20_30
5,1,5_06_00
6,1,6_06_50
7,1,7_06_10
8,1,8_06_00
9,1,9_06_00
10,1,10_06_00
11,1,11_06_30
12,1,12_06_00
13,1,13_06_00
14,1,14_06_00
15,1,15_06_50
16,1,16_06_20
17,1,17_06_00
18,1,18_06_00
19,1,19_06_00
20,1,20_06_00
21,1,21_06_00
22,1,22_15_00
23,1,23_06_00
24,1,24_17_50
25,1,25_06_00
26,1,26_21_00
27,1,27_06_50
28,1,28_18_40
29,1,29_06_00
30,1,30_06_00
31,1,31_07_10
32,1,32_06_00
33,1,33_06_00
34,1,34_06_00
35,1,35_06_00
36,1,36_06_00
37,1,37_06_00
38,1,38_06_00
39,1,39_06_00
40,1,40_06_00
41,1,41_06_00
42,1,42_06_00
43,1,43_06_00
44,1,44_19_50
45,1,45_06_00
46,1,46_06_30
47,1,47_06_50
48,1,48_06_00
49,1,49_06_00
50,1,50_06_40
51,1,51_06_00
52,1,52_06_00
53,1,53_07_50
54,1,54_06_00
55,1,55_06_00
56,1,56_06_00
57,1,57_06_30
58,1,58_06_00
59,1,59_06_00
60,1,60_06_00
61,1,61_06_00
62,1,62_17_20
63,1,63_20_40
64,1,64_06_00
65,1,65_06_00
66,1,66_06_10
67,1,67_06_00
68,1,68_06_00
69,1,69_13_20
70,1,70_06_00
71,1,71_18_00
72,1,72_06_00
73,1,73_06_00
74,1,74_06_00
75,1,75_06_00
76,1,76_06_00
77,1,77_06_00
78,1,78_06_00
79,1,79_06_00
80,1,80_06_00
81,1,81_06_00
82,1,82_06_00
83,1,83_06_00
84,1,84_06_00
85,1,85_07_00
86,1,86_06_00
87,1,87_17_30
88,1,88_06_00
89,1,89_06_00
90,1,90_06_00
91,1,91_06_00
92,1,92_06_00
93,1,93_06_00
94,1,94_17_40
95,1,95_06_20
96,1,96_11_30
97,1,97_07_20
98,1,98_07_20
99,1,99_06_00
100,1,100_06_00
101,1,101_06_00
102,1,102_06_00
103,1,103_06_00
104,1,104_06_00
105,1,105_06_00
106,1,106_06_00
107,1,107_06_00
108,1,108_06_00
109,1,109_07_30
110,1,110_06_00
111,1,111_20_00
112,1,112_06_00
113,1,113_06_00
114,1,114_06_30
115,1,115_06_00
116,1,116_06_00
117,1,117_07_30
118,1,118_19_00
119,1,119_13_20
120,1,120_07_40
121,1,121_06_20
122,1,122_06_00
123,1,123_13_40
124,1,124_18_40
125,1,125_06_00
126,1,126_06_00
127,1,127_06_00
128,1,128_06_00
129,1,129_06_50
130,1,130_06_00
131,1,131_06_00
132,1,132_06_00
133,1,133_06_00
134,1,134_06_00
135,1,135_06_00
136,1,136_06_00
137,1,137_06_00
138,1,138_06_00
139,1,139_06_00
140,1,140_20_10
141,1,141_06_50
142,1,142_07_00
143,1,143_06_00
144,1,144_06_00
145,1,145_06_30
146,1,146_07_10
147,1,147_06_10
148,1,148_06_00
149,1,149_06_00
150,1,150_06_00
151,1,151_07_10
152,1,152_06_00
153,1,153_07_10
154,1,154_06_00
155,1,155_19_40
156,1,156_06_00
157,1,157_06_00
158,1,158_06_00
159,1,159_06_00
160,1,160_06_00
161,1,161_06_00
162,1,162_06_00
163,1,163_06_00
164,1,164_12_00
165,1,165_06_00
166,1,166_06_00
167,1,167_06_00
168,1,168_06_00
169,1,169_06_00
170,1,170_06_00
171,1,171_06_00
172,1,172_06_00
173,1,173_06_00
174,1,174_20_00
175,1,175_07_40
176,1,176_06_00
177,1,177_06_00
178,1,178_06_00
179,1,179_12_30
180,1,180_06_00
181,1,181_21_20
